index,County,Precinct,Registered Voters,Bryce A. Johnson (Rep)_Election Day Votes,Bryce A. Johnson (Rep)_Advanced Voting Votes,Bryce A. Johnson (Rep)_Absentee by Mail Votes,Bryce A. Johnson (Rep)_Provisional Votes,Bryce A. Johnson (Rep)_Choice Total,Total,
0,Worth,Sylvester,3006,259,630,250,0,1139,1139,
1,Worth,Scooterville,603,201,147,35,0,383,383,
2,Worth,Minton,543,189,157,39,0,385,385,
3,Worth,Bridgeboro,1286,319,338,88,0,745,745,
4,Worth,County Line,887,185,198,67,0,450,450,
5,Worth,Isabella,1424,281,528,117,0,926,926,
6,Worth,Piney Woods,336,53,77,26,0,156,156,
7,Worth,Sylvester East,1406,194,508,127,0,829,829,
8,Worth,Poulan,887,245,226,62,0,533,533,
9,Worth,Sumner,871,231,209,62,0,502,502,
10,Worth,Shingler,554,189,162,41,0,392,392,
11,Worth,Red Rock,1287,299,254,82,0,635,635,
12,Worth,Doles,449,155,102,37,0,294,294,
13,Worth,Oakfield,229,59,48,17,0,124,124,
14,Worth,Warwick,701,210,127,79,0,416,416,
